"rssi","time (second)","trial","distance"
-46,-0.0,1,0.25
-49,1.0,1,0.25
-49,2.0,1,0.25
-50,7.0,1,0.25
-49,8.0,1,0.25
-50,9.0,1,0.25
-50,11.0,1,0.25
-49,12.0,1,0.25
-49,13.0,1,0.25
-49,15.0,1,0.25
-49,16.0,1,0.25
-50,18.0,1,0.25
-49,19.0,1,0.25
-51,21.0,1,0.25
-50,23.0,1,0.25
-49,25.0,1,0.25
-49,26.0,1,0.25
-49,28.0,1,0.25
-49,29.0,1,0.25
-50,31.0,1,0.25
-49,34.0,1,0.25
-49,35.0,1,0.25
-51,36.0,1,0.25
-50,40.0,1,0.25
-50,41.0,1,0.25
-49,42.0,1,0.25
-50,44.0,1,0.25
-49,45.0,1,0.25
-49,46.0,1,0.25
-49,48.0,1,0.25
-50,51.0,1,0.25
-50,52.0,1,0.25
-51,53.0,1,0.25
-46,56.0,1,0.25
-49,58.0,1,0.25
-49,59.0,1,0.25
-49,60.0,1,0.25
-49,62.0,1,0.25
-51,63.0,1,0.25
-49,64.0,1,0.25
-50,66.0,1,0.25
-51,68.0,1,0.25
-49,69.0,1,0.25
-49,71.0,1,0.25
-51,73.0,1,0.25
-48,75.0,1,0.25
-48,77.0,1,0.25
-53,78.0,1,0.25
-50,81.0,1,0.25
-50,82.0,1,0.25
-50,84.0,1,0.25
-50,85.0,1,0.25
-50,86.0,1,0.25
-50,88.0,1,0.25
-49,89.0,1,0.25
-49,90.0,1,0.25
-49,92.0,1,0.25
-49,93.0,1,0.25
-49,95.0,1,0.25
-49,96.0,1,0.25
-50,97.0,1,0.25
-49,99.0,1,0.25
-49,100.0,1,0.25
-51,102.0,1,0.25
-51,103.0,1,0.25
-48,104.0,1,0.25
-48,106.0,1,0.25
-50,107.0,1,0.25
-50,108.0,1,0.25
-50,110.0,1,0.25
-49,113.0,1,0.25
-49,114.0,1,0.25
-48,116.0,1,0.25
-50,117.0,1,0.25
-49,119.0,1,0.25
-49,120.0,1,0.25
-52,-0.0,2,0.25
-49,1.0,2,0.25
-49,4.0,2,0.25
-52,5.0,2,0.25
-49,7.0,2,0.25
-49,8.0,2,0.25
-49,10.0,2,0.25
-49,11.0,2,0.25
-49,12.0,2,0.25
-49,14.0,2,0.25
-50,15.0,2,0.25
-50,16.0,2,0.25
-49,18.0,2,0.25
-49,19.0,2,0.25
-49,21.0,2,0.25
-50,22.0,2,0.25
-46,23.0,2,0.25
-50,25.0,2,0.25
-50,26.0,2,0.25
-50,27.0,2,0.25
-46,29.0,2,0.25
-49,30.0,2,0.25
-49,32.0,2,0.25
-50,33.0,2,0.25
-50,34.0,2,0.25
-49,36.0,2,0.25
-49,37.0,2,0.25
-49,38.0,2,0.25
-49,40.0,2,0.25
-49,43.0,2,0.25
-49,44.0,2,0.25
-49,45.0,2,0.25
-51,47.0,2,0.25
-49,48.0,2,0.25
-49,50.0,2,0.25
-49,51.0,2,0.25
-49,52.0,2,0.25
-49,54.0,2,0.25
-50,55.0,2,0.25
-49,58.0,2,0.25
-49,59.0,2,0.25
-49,61.0,2,0.25
-49,63.0,2,0.25
-49,65.0,2,0.25
-49,67.0,2,0.25
-49,69.0,2,0.25
-49,70.0,2,0.25
-50,71.0,2,0.25
-49,73.0,2,0.25
-49,74.0,2,0.25
-46,76.0,2,0.25
-49,78.0,2,0.25
-49,80.0,2,0.25
-49,82.0,2,0.25
-49,83.0,2,0.25
-49,85.0,2,0.25
-49,86.0,2,0.25
-50,88.0,2,0.25
-49,89.0,2,0.25
-50,91.0,2,0.25
-49,94.0,2,0.25
-49,95.0,2,0.25
-49,96.0,2,0.25
-49,99.0,2,0.25
-50,101.0,2,0.25
-49,102.0,2,0.25
-49,103.0,2,0.25
-49,105.0,2,0.25
-49,106.0,2,0.25
-50,109.0,2,0.25
-50,110.0,2,0.25
-49,112.0,2,0.25
-49,113.0,2,0.25
-49,114.0,2,0.25
-49,116.0,2,0.25
-49,117.0,2,0.25
-49,119.0,2,0.25
-50,-0.0,3,0.25
-51,1.0,3,0.25
-51,3.0,3,0.25
-50,4.0,3,0.25
-50,5.0,3,0.25
-49,7.0,3,0.25
-49,8.0,3,0.25
-47,10.0,3,0.25
-47,11.0,3,0.25
-49,13.0,3,0.25
-50,15.0,3,0.25
-50,17.0,3,0.25
-49,18.0,3,0.25
-50,19.0,3,0.25
-49,21.0,3,0.25
-49,22.0,3,0.25
-50,24.0,3,0.25
-49,25.0,3,0.25
-49,28.0,3,0.25
-50,29.0,3,0.25
-50,30.0,3,0.25
-50,32.0,3,0.25
-49,33.0,3,0.25
-49,35.0,3,0.25
-49,36.0,3,0.25
-50,37.0,3,0.25
-50,41.0,3,0.25
-49,42.0,3,0.25
-49,45.0,3,0.25
-49,46.0,3,0.25
-51,49.0,3,0.25
-49,51.0,3,0.25
-49,52.0,3,0.25
-49,55.0,3,0.25
-49,57.0,3,0.25
-49,58.0,3,0.25
-49,59.0,3,0.25
-49,61.0,3,0.25
-49,62.0,3,0.25
-52,64.0,3,0.25
-49,65.0,3,0.25
-49,66.0,3,0.25
-48,68.0,3,0.25
-49,70.0,3,0.25
-49,72.0,3,0.25
-49,73.0,3,0.25
-51,75.0,3,0.25
-49,76.0,3,0.25
-49,77.0,3,0.25
-48,79.0,3,0.25
-48,80.0,3,0.25
-50,81.0,3,0.25
-50,83.0,3,0.25
-50,86.0,3,0.25
-50,87.0,3,0.25
-49,88.0,3,0.25
-49,90.0,3,0.25
-49,91.0,3,0.25
-49,92.0,3,0.25
-49,94.0,3,0.25
-49,95.0,3,0.25
-50,97.0,3,0.25
-50,98.0,3,0.25
-49,99.0,3,0.25
-49,101.0,3,0.25
-49,102.0,3,0.25
-49,104.0,3,0.25
-49,106.0,3,0.25
-49,108.0,3,0.25
-50,109.0,3,0.25
-50,110.0,3,0.25
-49,112.0,3,0.25
-49,113.0,3,0.25
-49,115.0,3,0.25
-52,116.0,3,0.25
-49,117.0,3,0.25
-49,119.0,3,0.25
-49,120.0,3,0.25
