"rssi","time (second)","trial","distance"
-58,-0.0,1,1.0
-62,2.0,1,1.0
-62,4.0,1,1.0
-62,5.0,1,1.0
-62,6.0,1,1.0
-62,8.0,1,1.0
-58,9.0,1,1.0
-62,11.0,1,1.0
-58,12.0,1,1.0
-58,13.0,1,1.0
-61,15.0,1,1.0
-62,16.0,1,1.0
-58,17.0,1,1.0
-61,19.0,1,1.0
-58,20.0,1,1.0
-57,22.0,1,1.0
-61,23.0,1,1.0
-62,24.0,1,1.0
-58,26.0,1,1.0
-58,27.0,1,1.0
-58,29.0,1,1.0
-58,30.0,1,1.0
-59,31.0,1,1.0
-64,32.0,1,1.0
-58,35.0,1,1.0
-63,37.0,1,1.0
-62,39.0,1,1.0
-59,40.0,1,1.0
-62,41.0,1,1.0
-58,43.0,1,1.0
-59,44.0,1,1.0
-66,45.0,1,1.0
-58,47.0,1,1.0
-58,48.0,1,1.0
-62,50.0,1,1.0
-59,51.0,1,1.0
-65,53.0,1,1.0
-59,55.0,1,1.0
-59,56.0,1,1.0
-65,57.0,1,1.0
-58,59.0,1,1.0
-58,60.0,1,1.0
-63,62.0,1,1.0
-58,63.0,1,1.0
-57,67.0,1,1.0
-65,68.0,1,1.0
-65,70.0,1,1.0
-58,71.0,1,1.0
-63,72.0,1,1.0
-63,74.0,1,1.0
-58,75.0,1,1.0
-63,77.0,1,1.0
-67,78.0,1,1.0
-58,79.0,1,1.0
-63,81.0,1,1.0
-63,82.0,1,1.0
-59,84.0,1,1.0
-63,85.0,1,1.0
-58,86.0,1,1.0
-59,88.0,1,1.0
-67,89.0,1,1.0
-67,91.0,1,1.0
-58,92.0,1,1.0
-58,93.0,1,1.0
-58,94.0,1,1.0
-58,96.0,1,1.0
-67,97.0,1,1.0
-59,99.0,1,1.0
-58,100.0,1,1.0
-64,102.0,1,1.0
-58,103.0,1,1.0
-60,104.0,1,1.0
-66,106.0,1,1.0
-58,107.0,1,1.0
-58,108.0,1,1.0
-59,110.0,1,1.0
-61,111.0,1,1.0
-60,113.0,1,1.0
-59,114.0,1,1.0
-59,115.0,1,1.0
-57,117.0,1,1.0
-60,118.0,1,1.0
-62,119.0,1,1.0
-59,-0.0,2,1.0
-61,1.0,2,1.0
-60,2.0,2,1.0
-59,4.0,2,1.0
-63,5.0,2,1.0
-58,6.0,2,1.0
-59,8.0,2,1.0
-63,9.0,2,1.0
-59,11.0,2,1.0
-59,12.0,2,1.0
-61,13.0,2,1.0
-59,15.0,2,1.0
-59,16.0,2,1.0
-59,17.0,2,1.0
-59,19.0,2,1.0
-59,20.0,2,1.0
-61,22.0,2,1.0
-58,23.0,2,1.0
-61,27.0,2,1.0
-61,30.0,2,1.0
-59,31.0,2,1.0
-62,32.0,2,1.0
-61,34.0,2,1.0
-61,35.0,2,1.0
-61,37.0,2,1.0
-61,38.0,2,1.0
-59,39.0,2,1.0
-59,42.0,2,1.0
-59,44.0,2,1.0
-60,45.0,2,1.0
-60,46.0,2,1.0
-57,48.0,2,1.0
-57,49.0,2,1.0
-62,51.0,2,1.0
-60,52.0,2,1.0
-61,53.0,2,1.0
-61,55.0,2,1.0
-59,56.0,2,1.0
-61,57.0,2,1.0
-59,59.0,2,1.0
-59,60.0,2,1.0
-61,62.0,2,1.0
-61,63.0,2,1.0
-59,64.0,2,1.0
-61,66.0,2,1.0
-61,67.0,2,1.0
-62,69.0,2,1.0
-59,71.0,2,1.0
-59,73.0,2,1.0
-61,74.0,2,1.0
-58,75.0,2,1.0
-56,77.0,2,1.0
-62,78.0,2,1.0
-58,79.0,2,1.0
-62,81.0,2,1.0
-61,82.0,2,1.0
-59,84.0,2,1.0
-62,85.0,2,1.0
