"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1617720204479-0000a7c0","diract-proximity",,"_doc","['0.688','-0.562','0.5']",78,1,"0000a7c0","[{'instanceId':'0000004e','rssi':-73}]","Apr 6, 2021 @ 10:43:24"
"1617720203307-00003afc","diract-proximity",,"_doc","['-0.375','0.25','0.875']",68,1,"00003afc","[{'instanceId':'0000','rssi':-92},{'instanceId':'','rssi':-92},{'instanceId':'','rssi':-92}]","Apr 6, 2021 @ 10:43:23"
"1617720202937-0000a7c0","diract-proximity",,"_doc","['0.688','-0.562','0.5']",79,0,"0000a7c0","[{'instanceId':'00000060','rssi':-69}]","Apr 6, 2021 @ 10:43:22"
"1617720202451-00003afc","diract-proximity",,"_doc","['-0.25','-0.062','0.438']",68,6,"00003afc","[{'instanceId':'00000058','rssi':-70},{'instanceId':'00000059','rssi':-71},{'instanceId':'00000060','rssi':-74}]","Apr 6, 2021 @ 10:43:22"
"1617720201721-0000a7c0","diract-proximity",,"_doc","['0.625','-0.562','0.5']",79,6,"0000a7c0","[{'instanceId':'00000060','rssi':-71},{'instanceId':'0000004e','rssi':-74}]","Apr 6, 2021 @ 10:43:21"
"1617720201234-00003afc","diract-proximity",,"_doc","['-0.25','-0.062','0.438']",68,6,"00003afc","[{'instanceId':'00000058','rssi':-70},{'instanceId':'00000059','rssi':-71},{'instanceId':'00000060','rssi':-74}]","Apr 6, 2021 @ 10:43:21"
"1617720200337-0000a7c0","diract-proximity",,"_doc","['0.625','-0.562','0.5']",79,5,"0000a7c0","[{'instanceId':'00000060','rssi':-71}]","Apr 6, 2021 @ 10:43:20"
"1617720199665-00003afc","diract-proximity",,"_doc","['0.188','0.188','0.875']",68,4,"00003afc","[{'instanceId':'0000004d','rssi':-74}]","Apr 6, 2021 @ 10:43:19"
"1617720198775-0000a7c0","diract-proximity",,"_doc","['0.625','-0.562','0.5']",79,4,"0000a7c0","[{'instanceId':'00000060','rssi':-68},{'instanceId':'0000004e','rssi':-73},{'instanceId':'00000061','rssi':-75}]","Apr 6, 2021 @ 10:43:18"
"1617720198447-00003afc","diract-proximity",,"_doc","['-0.125','0.313','0.875']",68,3,"00003afc","[{'instanceId':'00000058','rssi':-66},{'instanceId':'00000060','rssi':-72},{'instanceId':'0000004d','rssi':-75}]","Apr 6, 2021 @ 10:43:18"
"1617720197381-0000a7c0","diract-proximity",,"_doc","['0.625','-0.562','0.5']",79,4,"0000a7c0","[{'instanceId':'00000060','rssi':-68},{'instanceId':'0000004e','rssi':-73},{'instanceId':'00000061','rssi':-75}]","Apr 6, 2021 @ 10:43:17"
"1617720196875-00003afc","diract-proximity",,"_doc","['-0.187','0.313','0.875']",68,2,"00003afc","[{'instanceId':'00000058','rssi':-64},{'instanceId':'00000059','rssi':-75}]","Apr 6, 2021 @ 10:43:16"
"1617720196015-0000a7c0","diract-proximity",,"_doc","['0.625','-0.562','0.5']",79,2,"0000a7c0","[{'instanceId':'00000060','rssi':-70}]","Apr 6, 2021 @ 10:43:16"
"1617720195495-00003afc","diract-proximity",,"_doc","['-0.375','0.313','0.938']",68,1,"00003afc","[{'instanceId':'00000061','rssi':-68},{'instanceId':'0000004d','rssi':-68}]","Apr 6, 2021 @ 10:43:15"
"1617720194790-0000a7c0","diract-proximity",,"_doc","['0.688','-0.562','0.5']",79,1,"0000a7c0","[{'instanceId':'00000060','rssi':-70},{'instanceId':'0000004e','rssi':-74}]","Apr 6, 2021 @ 10:43:14"
"1617720194095-00003afc","diract-proximity",,"_doc","['-0.375','0.313','0.938']",68,1,"00003afc","[{'instanceId':'00000061','rssi':-68},{'instanceId':'0000004d','rssi':-68}]","Apr 6, 2021 @ 10:43:14"
"1617720192818-0000a7c0","diract-proximity",,"_doc","['0.688','-0.5','0.5']",78,0,"0000a7c0","[{'instanceId':'00000060','rssi':-70},{'instanceId':'0000004e','rssi':-74}]","Apr 6, 2021 @ 10:43:12"
"1617720192705-00003afc","diract-proximity",,"_doc","['-0.5','0.25','0.813']",68,7,"00003afc","[{'instanceId':'00000061','rssi':-68},{'instanceId':'00000059','rssi':-69},{'instanceId':'0000004d','rssi':-70}]","Apr 6, 2021 @ 10:43:12"
"1617720191492-00003afc","diract-proximity",,"_doc","['-0.562','0.25','0.75']",68,6,"00003afc","[{'instanceId':'00000061','rssi':-69},{'instanceId':'00000059','rssi':-70},{'instanceId':'0000004d','rssi':-71}]","Apr 6, 2021 @ 10:43:11"
"1617720191438-0000a7c0","diract-proximity",,"_doc","['0.875','-0.562','0.375']",78,7,"0000a7c0","[{'instanceId':'00000060','rssi':-69}]","Apr 6, 2021 @ 10:43:11"
"1617720189933-00003afc","diract-proximity",,"_doc","['-0.562','0.25','0.75']",68,5,"00003afc","[{'instanceId':'0000004d','rssi':-68},{'instanceId':'00000061','rssi':-69},{'instanceId':'00000059','rssi':-70}]","Apr 6, 2021 @ 10:43:09"
"1617720189651-0000a7c0","diract-proximity",,"_doc","['0.813','0','0.563']",78,6,"0000a7c0","[{'instanceId':'00000060','rssi':-71}]","Apr 6, 2021 @ 10:43:09"
"1617720188533-00003afc","diract-proximity",,"_doc","['-0.562','0.25','0.75']",68,4,"00003afc","[{'instanceId':'00000061','rssi':-69},{'instanceId':'00000059','rssi':-70},{'instanceId':'0000004d','rssi':-71}]","Apr 6, 2021 @ 10:43:08"
"1617720188258-0000a7c0","diract-proximity",,"_doc","['0.75','-0.125','0.625']",78,5,"0000a7c0","[{'instanceId':'00000060','rssi':-70},{'instanceId':'00000061','rssi':-74}]","Apr 6, 2021 @ 10:43:08"
"1617720186882-0000a7c0","diract-proximity",,"_doc","['0.75','-0.062','0.688']",78,4,"0000a7c0","[{'instanceId':'00000060','rssi':-71},{'instanceId':'00000061','rssi':-73},{'instanceId':'0000004d','rssi':-74}]","Apr 6, 2021 @ 10:43:06"
"1617720186733-00003afc","diract-proximity",,"_doc","['-0.562','0.313','0.75']",68,2,"00003afc","[{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-71},{'instanceId':'00000059','rssi':-71}]","Apr 6, 2021 @ 10:43:06"
"1617720185342-00003afc","diract-proximity",,"_doc","['-0.562','0.313','0.75']",68,2,"00003afc","[{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-71},{'instanceId':'00000059','rssi':-71}]","Apr 6, 2021 @ 10:43:05"
"1617720184122-0000a7c0","diract-proximity",,"_doc","['-0.062','0.438','-0.75']",78,2,"0000a7c0","[{'instanceId':'00000061','rssi':-70},{'instanceId':'00000058','rssi':-72}]","Apr 6, 2021 @ 10:43:04"
