"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1619030421426-00003afc","diract-proximity",,"_doc","['0.375','-0.25','0.938']",78,4,"00003afc","[{'instanceId':'0000004d','rssi':-66},{'instanceId':'00000059','rssi':-68}]","Apr 21, 2021 @ 14:40:21"
"1619030419623-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.188']",78,1,"00003afc","[{'instanceId':'0000004d','rssi':-72},{'instanceId':'00000059','rssi':-75},{'instanceId':'00000060','rssi':-75}]","Apr 21, 2021 @ 14:40:19"
"1619030416837-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.188']",78,6,"00003afc","[{'instanceId':'0000004d','rssi':-73},{'instanceId':'00000059','rssi':-74},{'instanceId':'00000060','rssi':-75}]","Apr 21, 2021 @ 14:40:16"
"1619030414865-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.188']",78,6,"00003afc","[{'instanceId':'0000004d','rssi':-73},{'instanceId':'00000059','rssi':-74},{'instanceId':'00000060','rssi':-75}]","Apr 21, 2021 @ 14:40:14"
"1619030413463-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.188']",78,4,"00003afc","[{'instanceId':'0000004d','rssi':-72},{'instanceId':'00000059','rssi':-74}]","Apr 21, 2021 @ 14:40:13"
"1619030412262-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.188']",78,3,"00003afc","[{'instanceId':'0000004d','rssi':-70},{'instanceId':'00000059','rssi':-75},{'instanceId':'00000060','rssi':-75}]","Apr 21, 2021 @ 14:40:12"
"1619030410666-00003afc","diract-proximity",,"_doc","['0.813','0.625','0.188']",78,2,"00003afc","[{'instanceId':'00000061','rssi':-73}]","Apr 21, 2021 @ 14:40:10"
"1619030409285-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,1,"00003afc","[{'instanceId':'00000058','rssi':-73},{'instanceId':'00000059','rssi':-75}]","Apr 21, 2021 @ 14:40:09"
"1619030407897-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,0,"00003afc","[{'instanceId':'0000004d','rssi':-71},{'instanceId':'00000058','rssi':-74},{'instanceId':'00000059','rssi':-75}]","Apr 21, 2021 @ 14:40:07"
"1619030406530-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,0,"00003afc","[{'instanceId':'0000004d','rssi':-71},{'instanceId':'00000058','rssi':-74},{'instanceId':'00000059','rssi':-75}]","Apr 21, 2021 @ 14:40:06"
"1619030404731-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.188']",78,6,"00003afc","[{'instanceId':'0000004d','rssi':-72},{'instanceId':'00000059','rssi':-74},{'instanceId':'00000058','rssi':-75}]","Apr 21, 2021 @ 14:40:04"
"1619030401950-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.188']",78,3,"00003afc","[{'instanceId':'00000058','rssi':-74},{'instanceId':'00000060','rssi':-75}]","Apr 21, 2021 @ 14:40:01"
"1619030400155-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.188']",78,3,"00003afc","[{'instanceId':'00000058','rssi':-74},{'instanceId':'00000060','rssi':-75}]","Apr 21, 2021 @ 14:40:00"
"1619030398190-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.125']",78,1,"00003afc","[{'instanceId':'00000058','rssi':-72},{'instanceId':'00000061','rssi':-73}]","Apr 21, 2021 @ 14:39:58"
"1619030396964-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.188']",78,0,"00003afc","[{'instanceId':'0000004d','rssi':-71},{'instanceId':'00000059','rssi':-74}]","Apr 21, 2021 @ 14:39:56"
"1619030393217-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.188']",78,5,"00003afc","[{'instanceId':'00000059','rssi':-74}]","Apr 21, 2021 @ 14:39:53"
"1619030391211-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.188']",78,5,"00003afc","[{'instanceId':'00000059','rssi':-74}]","Apr 21, 2021 @ 14:39:51"
"1619030389407-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,2,"00003afc","[{'instanceId':'0000004d','rssi':-72},{'instanceId':'00000060','rssi':-74}]","Apr 21, 2021 @ 14:39:49"
"1619030387029-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,1,"00003afc","[{'instanceId':'0000004d','rssi':-75}]","Apr 21, 2021 @ 14:39:47"
"1619030385646-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.125']",78,0,"00003afc","[{'instanceId':'0000004d','rssi':-71},{'instanceId':'00000061','rssi':-73},{'instanceId':'00000058','rssi':-75}]","Apr 21, 2021 @ 14:39:45"
"1619030384255-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.188']",78,7,"00003afc","[{'instanceId':'00000060','rssi':-73},{'instanceId':'0000004d','rssi':-73},{'instanceId':'0000004e','rssi':-74}]","Apr 21, 2021 @ 14:39:44"
"1619030382865-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.188']",78,7,"00003afc","[{'instanceId':'00000060','rssi':-73},{'instanceId':'0000004d','rssi':-73},{'instanceId':'0000004e','rssi':-74}]","Apr 21, 2021 @ 14:39:42"
"1619030381066-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.125']",78,5,"00003afc","[{'instanceId':'00000058','rssi':-72},{'instanceId':'0000004e','rssi':-73},{'instanceId':'00000060','rssi':-73}]","Apr 21, 2021 @ 14:39:41"
"1619030378673-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.188']",78,3,"00003afc","[{'instanceId':'00000058','rssi':-70},{'instanceId':'00000060','rssi':-72},{'instanceId':'0000004e','rssi':-74}]","Apr 21, 2021 @ 14:39:38"
"1619030375892-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.188']",78,1,"00003afc","[{'instanceId':'00000058','rssi':-69},{'instanceId':'0000004e','rssi':-73},{'instanceId':'00000060','rssi':-74}]","Apr 21, 2021 @ 14:39:35"
"1619030372305-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.188']",78,7,"00003afc","[]","Apr 21, 2021 @ 14:39:32"
"1619030370890-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.188']",78,5,"00003afc","[{'instanceId':'00000058','rssi':-72},{'instanceId':'00000059','rssi':-73}]","Apr 21, 2021 @ 14:39:30"
"1619030369095-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,4,"00003afc","[{'instanceId':'00000058','rssi':-70},{'instanceId':'00000060','rssi':-72},{'instanceId':'0000004d','rssi':-72}]","Apr 21, 2021 @ 14:39:29"
"1619030365749-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,2,"00003afc","[{'instanceId':'00000059','rssi':-70},{'instanceId':'00000058','rssi':-72},{'instanceId':'0000004e','rssi':-73}]","Apr 21, 2021 @ 14:39:25"
"1619030364373-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,1,"00003afc","[{'instanceId':'0000004d','rssi':-72},{'instanceId':'00000060','rssi':-73},{'instanceId':'00000061','rssi':-74}]","Apr 21, 2021 @ 14:39:24"
"1619030362959-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,1,"00003afc","[{'instanceId':'0000004d','rssi':-72},{'instanceId':'00000060','rssi':-73},{'instanceId':'00000061','rssi':-74}]","Apr 21, 2021 @ 14:39:22"
"1619030360755-00003afc","diract-proximity",,"_doc","['0.688','0.625','0.188']",78,7,"00003afc","[{'instanceId':'00000058','rssi':-70},{'instanceId':'00000060','rssi':-72}]","Apr 21, 2021 @ 14:39:20"
"1619030357963-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.188']",78,4,"00003afc","[{'instanceId':'00000060','rssi':-72},{'instanceId':'00000058','rssi':-72},{'instanceId':'0000004d','rssi':-74}]","Apr 21, 2021 @ 14:39:17"
"1619030356396-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,3,"00003afc","[{'instanceId':'00000058','rssi':-71},{'instanceId':'00000060','rssi':-72},{'instanceId':'00000059','rssi':-73}]","Apr 21, 2021 @ 14:39:16"
"1619030353205-00003afc","diract-proximity",,"_doc","['0.75','0.625','0.125']",78,1,"00003afc","[{'instanceId':'00000058','rssi':-69},{'instanceId':'0000004e','rssi':-72},{'instanceId':'00000059','rssi':-73}]","Apr 21, 2021 @ 14:39:13"
"1619030351827-00003afc","diract-proximity",,"_doc","['0.813','0.563','0.125']",78,0,"00003afc","[{'instanceId':'00000059','rssi':-71},{'instanceId':'00000058','rssi':-71},{'instanceId':'0000004e','rssi':-73}]","Apr 21, 2021 @ 14:39:11"
"1619030350425-00003afc","diract-proximity",,"_doc","['0.688','0.625','0.125']",78,6,"00003afc","[{'instanceId':'00000058','rssi':-74},{'instanceId':'00000060','rssi':-75},{'instanceId':'0000004e','rssi':-75}]","Apr 21, 2021 @ 14:39:10"
"1619030348621-00003afc","diract-proximity",,"_doc","['0.688','0.625','0.063']",78,5,"00003afc","[{'instanceId':'0000004e','rssi':-73},{'instanceId':'00000060','rssi':-74},{'instanceId':'00000061','rssi':-75}]","Apr 21, 2021 @ 14:39:08"
"1619030346645-00003afc","diract-proximity",,"_doc","['0.75','0.563','0.125']",78,4,"00003afc","[{'instanceId':'0000004d','rssi':-72},{'instanceId':'0000004e','rssi':-74},{'instanceId':'00000058','rssi':-74}]","Apr 21, 2021 @ 14:39:06"
"1619030344833-00003afc","diract-proximity",,"_doc","['0.813','0.625','0.125']",78,2,"00003afc","[{'instanceId':'00000060','rssi':-71},{'instanceId':'00000058','rssi':-73}]","Apr 21, 2021 @ 14:39:04"
"1619030343448-00003afc","diract-proximity",,"_doc","['0.813','0.625','0.125']",78,2,"00003afc","[{'instanceId':'00000060','rssi':-71},{'instanceId':'00000058','rssi':-73}]","Apr 21, 2021 @ 14:39:03"
