"rssi","time (second)","trial","distance"
-68,-0.0,1,5.5
-73,2.0,1,5.5
-68,3.0,1,5.5
-73,6.0,1,5.5
-67,7.0,1,5.5
-73,9.0,1,5.5
-73,10.0,1,5.5
-68,12.0,1,5.5
-73,14.0,1,5.5
-67,16.0,1,5.5
-65,17.0,1,5.5
-74,18.0,1,5.5
-68,20.0,1,5.5
-64,21.0,1,5.5
-74,24.0,1,5.5
-75,26.0,1,5.5
-68,28.0,1,5.5
-75,29.0,1,5.5
-75,30.0,1,5.5
-75,32.0,1,5.5
-75,33.0,1,5.5
-68,36.0,1,5.5
-73,37.0,1,5.5
-74,39.0,1,5.5
-71,40.0,1,5.5
-69,44.0,1,5.5
-69,47.0,1,5.5
-75,48.0,1,5.5
-69,51.0,1,5.5
-62,52.0,1,5.5
-62,54.0,1,5.5
-68,55.0,1,5.5
-64,56.0,1,5.5
-69,59.0,1,5.5
-75,62.0,1,5.5
-75,63.0,1,5.5
-74,66.0,1,5.5
-69,68.0,1,5.5
-72,70.0,1,5.5
-69,72.0,1,5.5
-68,74.0,1,5.5
-68,76.0,1,5.5
-68,79.0,1,5.5
-68,81.0,1,5.5
-69,83.0,1,5.5
-75,85.0,1,5.5
-69,86.0,1,5.5
-75,88.0,1,5.5
-75,92.0,1,5.5
-74,94.0,1,5.5
-68,95.0,1,5.5
-74,96.0,1,5.5
-74,98.0,1,5.5
-74,99.0,1,5.5
-75,100.0,1,5.5
-75,102.0,1,5.5
-73,103.0,1,5.5
-68,107.0,1,5.5
-68,112.0,1,5.5
-68,114.0,1,5.5
-68,116.0,1,5.5
-65,117.0,1,5.5
-72,-0.0,2,5.5
-71,1.0,2,5.5
-72,4.0,2,5.5
-73,11.0,2,5.5
-72,12.0,2,5.5
-72,14.0,2,5.5
-73,15.0,2,5.5
-73,19.0,2,5.5
-72,28.0,2,5.5
-72,29.0,2,5.5
-68,31.0,2,5.5
-73,34.0,2,5.5
-73,38.0,2,5.5
-72,41.0,2,5.5
-73,42.0,2,5.5
-73,44.0,2,5.5
-72,45.0,2,5.5
-68,48.0,2,5.5
-69,51.0,2,5.5
-69,55.0,2,5.5
-68,59.0,2,5.5
-69,62.0,2,5.5
-69,66.0,2,5.5
-68,67.0,2,5.5
-70,70.0,2,5.5
-71,76.0,2,5.5
-71,78.0,2,5.5
-75,79.0,2,5.5
-69,81.0,2,5.5
-69,82.0,2,5.5
-68,85.0,2,5.5
-69,89.0,2,5.5
-68,90.0,2,5.5
-68,93.0,2,5.5
-71,97.0,2,5.5
-68,100.0,2,5.5
-68,104.0,2,5.5
-69,106.0,2,5.5
-69,115.0,2,5.5
-69,116.0,2,5.5
-73,-0.0,3,5.5
-73,3.0,3,5.5
-72,9.0,3,5.5
-72,10.0,3,5.5
-69,11.0,3,5.5
-70,18.0,3,5.5
-74,20.0,3,5.5
-74,21.0,3,5.5
-73,24.0,3,5.5
-73,27.0,3,5.5
-73,28.0,3,5.5
-75,32.0,3,5.5
-73,38.0,3,5.5
-74,39.0,3,5.5
-69,40.0,3,5.5
-69,43.0,3,5.5
-74,46.0,3,5.5
-74,50.0,3,5.5
-69,54.0,3,5.5
-69,55.0,3,5.5
-74,58.0,3,5.5
-70,62.0,3,5.5
-70,64.0,3,5.5
-74,65.0,3,5.5
-75,75.0,3,5.5
-72,76.0,3,5.5
-72,77.0,3,5.5
-74,82.0,3,5.5
-74,83.0,3,5.5
-71,84.0,3,5.5
-75,87.0,3,5.5
-75,88.0,3,5.5
-70,92.0,3,5.5
-74,95.0,3,5.5
-70,97.0,3,5.5
-75,105.0,3,5.5
-75,106.0,3,5.5
-73,109.0,3,5.5
-70,113.0,3,5.5
-73,115.0,3,5.5
-73,117.0,3,5.5
-70,119.0,3,5.5
