"rssi","time (second)","trial","distance"
-49,-0.0,1,0.25
-48,1.0,1,0.25
-48,3.0,1,0.25
-49,4.0,1,0.25
-48,5.0,1,0.25
-48,7.0,1,0.25
-48,8.0,1,0.25
-48,10.0,1,0.25
-48,11.0,1,0.25
-48,12.0,1,0.25
-51,14.0,1,0.25
-49,15.0,1,0.25
-49,16.0,1,0.25
-49,18.0,1,0.25
-48,19.0,1,0.25
-49,20.0,1,0.25
-48,22.0,1,0.25
-49,23.0,1,0.25
-49,25.0,1,0.25
-48,26.0,1,0.25
-49,27.0,1,0.25
-49,30.0,1,0.25
-47,31.0,1,0.25
-49,32.0,1,0.25
-48,34.0,1,0.25
-49,35.0,1,0.25
-52,37.0,1,0.25
-48,38.0,1,0.25
-48,40.0,1,0.25
-50,41.0,1,0.25
-48,42.0,1,0.25
-48,44.0,1,0.25
-48,45.0,1,0.25
-48,47.0,1,0.25
-50,48.0,1,0.25
-48,50.0,1,0.25
-48,51.0,1,0.25
-50,52.0,1,0.25
-48,54.0,1,0.25
-48,55.0,1,0.25
-49,56.0,1,0.25
-48,58.0,1,0.25
-48,60.0,1,0.25
-49,61.0,1,0.25
-48,62.0,1,0.25
-48,64.0,1,0.25
-48,65.0,1,0.25
-48,66.0,1,0.25
-49,69.0,1,0.25
-48,71.0,1,0.25
-49,72.0,1,0.25
-49,74.0,1,0.25
-48,75.0,1,0.25
-49,77.0,1,0.25
-48,78.0,1,0.25
-49,80.0,1,0.25
-49,81.0,1,0.25
-46,83.0,1,0.25
-49,84.0,1,0.25
-50,86.0,1,0.25
-49,87.0,1,0.25
-49,89.0,1,0.25
-50,91.0,1,0.25
-50,92.0,1,0.25
-50,94.0,1,0.25
-48,95.0,1,0.25
-51,98.0,1,0.25
-48,99.0,1,0.25
-48,101.0,1,0.25
-50,102.0,1,0.25
-50,103.0,1,0.25
-49,105.0,1,0.25
-48,106.0,1,0.25
-48,107.0,1,0.25
-49,109.0,1,0.25
-48,110.0,1,0.25
-48,112.0,1,0.25
-49,113.0,1,0.25
-48,114.0,1,0.25
-48,116.0,1,0.25
-48,117.0,1,0.25
-49,118.0,1,0.25
-48,-0.0,2,0.25
-48,1.0,2,0.25
-49,4.0,2,0.25
-48,5.0,2,0.25
-48,6.0,2,0.25
-48,8.0,2,0.25
-48,9.0,2,0.25
-48,10.0,2,0.25
-48,13.0,2,0.25
-49,15.0,2,0.25
-49,16.0,2,0.25
-48,17.0,2,0.25
-49,19.0,2,0.25
-48,21.0,2,0.25
-48,23.0,2,0.25
-48,24.0,2,0.25
-49,25.0,2,0.25
-49,27.0,2,0.25
-48,28.0,2,0.25
-49,30.0,2,0.25
-48,31.0,2,0.25
-48,32.0,2,0.25
-49,34.0,2,0.25
-49,35.0,2,0.25
-49,37.0,2,0.25
-49,38.0,2,0.25
-48,42.0,2,0.25
-49,44.0,2,0.25
-48,46.0,2,0.25
-49,48.0,2,0.25
-48,50.0,2,0.25
-48,51.0,2,0.25
-48,53.0,2,0.25
-48,54.0,2,0.25
-48,57.0,2,0.25
-50,59.0,2,0.25
-50,60.0,2,0.25
-48,61.0,2,0.25
-49,63.0,2,0.25
-48,64.0,2,0.25
-48,66.0,2,0.25
-48,67.0,2,0.25
-48,68.0,2,0.25
-49,71.0,2,0.25
-48,72.0,2,0.25
-48,74.0,2,0.25
-48,75.0,2,0.25
-48,77.0,2,0.25
-48,78.0,2,0.25
-49,79.0,2,0.25
-48,81.0,2,0.25
-48,82.0,2,0.25
-48,83.0,2,0.25
-48,85.0,2,0.25
-44,86.0,2,0.25
-48,88.0,2,0.25
-50,89.0,2,0.25
-50,90.0,2,0.25
-48,92.0,2,0.25
-49,94.0,2,0.25
-48,96.0,2,0.25
-48,97.0,2,0.25
-48,99.0,2,0.25
-48,100.0,2,0.25
-48,101.0,2,0.25
-48,103.0,2,0.25
-48,104.0,2,0.25
-48,106.0,2,0.25
-49,107.0,2,0.25
-49,108.0,2,0.25
-48,110.0,2,0.25
-48,111.0,2,0.25
-48,112.0,2,0.25
-49,115.0,2,0.25
-48,117.0,2,0.25
-48,118.0,2,0.25
-48,119.0,2,0.25
-48,-0.0,3,0.25
-51,2.0,3,0.25
-51,3.0,3,0.25
-49,4.0,3,0.25
-49,6.0,3,0.25
-48,7.0,3,0.25
-51,8.0,3,0.25
-51,10.0,3,0.25
-49,11.0,3,0.25
-51,13.0,3,0.25
-51,14.0,3,0.25
-49,15.0,3,0.25
-49,17.0,3,0.25
-51,18.0,3,0.25
-49,19.0,3,0.25
-51,21.0,3,0.25
-51,22.0,3,0.25
-51,24.0,3,0.25
-48,25.0,3,0.25
-51,26.0,3,0.25
-49,28.0,3,0.25
-49,29.0,3,0.25
-49,32.0,3,0.25
-51,33.0,3,0.25
-48,35.0,3,0.25
-51,37.0,3,0.25
-51,38.0,3,0.25
-48,40.0,3,0.25
-51,41.0,3,0.25
-48,43.0,3,0.25
-48,45.0,3,0.25
-47,46.0,3,0.25
-47,48.0,3,0.25
-51,50.0,3,0.25
-51,51.0,3,0.25
-48,53.0,3,0.25
-48,55.0,3,0.25
-49,57.0,3,0.25
-51,58.0,3,0.25
-49,60.0,3,0.25
-51,62.0,3,0.25
-51,64.0,3,0.25
-49,65.0,3,0.25
-51,66.0,3,0.25
-48,68.0,3,0.25
-49,69.0,3,0.25
-51,71.0,3,0.25
-51,73.0,3,0.25
-51,74.0,3,0.25
-51,76.0,3,0.25
-51,77.0,3,0.25
-51,79.0,3,0.25
-48,80.0,3,0.25
-51,82.0,3,0.25
-49,84.0,3,0.25
-51,86.0,3,0.25
-48,87.0,3,0.25
-51,90.0,3,0.25
-48,92.0,3,0.25
-48,93.0,3,0.25
-51,94.0,3,0.25
-49,97.0,3,0.25
-51,98.0,3,0.25
-49,100.0,3,0.25
-48,102.0,3,0.25
-51,103.0,3,0.25
-48,104.0,3,0.25
-48,106.0,3,0.25
-51,107.0,3,0.25
-48,108.0,3,0.25
-48,111.0,3,0.25
-49,113.0,3,0.25
-51,115.0,3,0.25
-49,116.0,3,0.25
-51,117.0,3,0.25
-51,119.0,3,0.25
-48,120.0,3,0.25
