"rssi","time (second)","trial","distance"
-64,-0.0,1,2.25
-67,3.0,1,2.25
-70,4.0,1,2.25
-68,7.0,1,2.25
-67,11.0,1,2.25
-67,14.0,1,2.25
-68,15.0,1,2.25
-68,18.0,1,2.25
-66,22.0,1,2.25
-67,26.0,1,2.25
-67,33.0,1,2.25
-67,34.0,1,2.25
-64,36.0,1,2.25
-67,40.0,1,2.25
-66,41.0,1,2.25
-68,44.0,1,2.25
-70,45.0,1,2.25
-68,48.0,1,2.25
-68,49.0,1,2.25
-66,52.0,1,2.25
-68,55.0,1,2.25
-66,56.0,1,2.25
-66,59.0,1,2.25
-65,66.0,1,2.25
-65,67.0,1,2.25
-67,70.0,1,2.25
-66,71.0,1,2.25
-67,75.0,1,2.25
-67,78.0,1,2.25
-67,84.0,1,2.25
-68,85.0,1,2.25
-68,86.0,1,2.25
-67,89.0,1,2.25
-66,95.0,1,2.25
-65,97.0,1,2.25
-67,100.0,1,2.25
-67,103.0,1,2.25
-67,104.0,1,2.25
-67,109.0,1,2.25
-67,113.0,1,2.25
-68,118.0,1,2.25
-67,119.0,1,2.25
-66,-0.0,2,2.25
-67,2.0,2,2.25
-65,4.0,2,2.25
-66,9.0,2,2.25
-71,10.0,2,2.25
-67,11.0,2,2.25
-65,13.0,2,2.25
-65,14.0,2,2.25
-67,15.0,2,2.25
-65,17.0,2,2.25
-70,18.0,2,2.25
-70,20.0,2,2.25
-66,21.0,2,2.25
-71,22.0,2,2.25
-65,24.0,2,2.25
-66,25.0,2,2.25
-71,26.0,2,2.25
-67,28.0,2,2.25
-71,29.0,2,2.25
-65,31.0,2,2.25
-71,32.0,2,2.25
-65,36.0,2,2.25
-71,38.0,2,2.25
-71,39.0,2,2.25
-67,40.0,2,2.25
-67,43.0,2,2.25
-67,44.0,2,2.25
-70,46.0,2,2.25
-67,47.0,2,2.25
-65,49.0,2,2.25
-70,50.0,2,2.25
-65,51.0,2,2.25
-65,53.0,2,2.25
-70,54.0,2,2.25
-66,55.0,2,2.25
-66,57.0,2,2.25
-70,58.0,2,2.25
-68,59.0,2,2.25
-68,61.0,2,2.25
-70,62.0,2,2.25
-66,64.0,2,2.25
-65,65.0,2,2.25
-70,66.0,2,2.25
-70,68.0,2,2.25
-71,69.0,2,2.25
-70,70.0,2,2.25
-66,72.0,2,2.25
-70,73.0,2,2.25
-70,75.0,2,2.25
-67,76.0,2,2.25
-69,77.0,2,2.25
-70,79.0,2,2.25
-65,80.0,2,2.25
-70,82.0,2,2.25
-67,84.0,2,2.25
-72,86.0,2,2.25
-64,87.0,2,2.25
-66,88.0,2,2.25
-72,90.0,2,2.25
-65,91.0,2,2.25
-67,93.0,2,2.25
-67,94.0,2,2.25
-65,95.0,2,2.25
-65,97.0,2,2.25
-70,98.0,2,2.25
-65,100.0,2,2.25
-68,101.0,2,2.25
-71,102.0,2,2.25
-67,104.0,2,2.25
-65,105.0,2,2.25
-70,106.0,2,2.25
-66,108.0,2,2.25
-66,109.0,2,2.25
-72,111.0,2,2.25
-66,112.0,2,2.25
-66,113.0,2,2.25
-71,115.0,2,2.25
-65,116.0,2,2.25
-66,117.0,2,2.25
-66,120.0,2,2.25
-68,-0.0,3,2.25
-69,1.0,3,2.25
-70,3.0,3,2.25
-67,5.0,3,2.25
-67,7.0,3,2.25
-69,8.0,3,2.25
-68,9.0,3,2.25
-68,11.0,3,2.25
-68,12.0,3,2.25
-67,13.0,3,2.25
-70,15.0,3,2.25
-68,16.0,3,2.25
-67,18.0,3,2.25
-69,19.0,3,2.25
-67,20.0,3,2.25
-67,22.0,3,2.25
-69,23.0,3,2.25
-67,25.0,3,2.25
-68,26.0,3,2.25
-70,27.0,3,2.25
-67,29.0,3,2.25
-67,30.0,3,2.25
-69,35.0,3,2.25
-65,37.0,3,2.25
-68,39.0,3,2.25
-70,40.0,3,2.25
-66,42.0,3,2.25
-70,43.0,3,2.25
-70,45.0,3,2.25
-68,46.0,3,2.25
-69,47.0,3,2.25
-67,49.0,3,2.25
-69,50.0,3,2.25
-68,52.0,3,2.25
-66,54.0,3,2.25
-70,57.0,3,2.25
-66,58.0,3,2.25
-68,59.0,3,2.25
-68,61.0,3,2.25
-70,63.0,3,2.25
-67,64.0,3,2.25
-66,66.0,3,2.25
-70,67.0,3,2.25
-70,69.0,3,2.25
-68,70.0,3,2.25
-70,71.0,3,2.25
-66,73.0,3,2.25
-65,74.0,3,2.25
-69,76.0,3,2.25
-69,77.0,3,2.25
-66,79.0,3,2.25
-66,81.0,3,2.25
-69,84.0,3,2.25
-66,85.0,3,2.25
-70,87.0,3,2.25
-70,89.0,3,2.25
-67,90.0,3,2.25
-69,92.0,3,2.25
-66,93.0,3,2.25
-69,96.0,3,2.25
-66,97.0,3,2.25
-69,99.0,3,2.25
-70,100.0,3,2.25
-65,102.0,3,2.25
-70,103.0,3,2.25
-69,104.0,3,2.25
-66,106.0,3,2.25
-69,107.0,3,2.25
-67,109.0,3,2.25
-67,110.0,3,2.25
-70,111.0,3,2.25
-69,113.0,3,2.25
-69,114.0,3,2.25
-69,115.0,3,2.25
-65,117.0,3,2.25
-66,118.0,3,2.25
-72,120.0,3,2.25
