"rssi","time (second)","trial","distance"
-64,-0.0,1,1.75
-64,1.0,1,1.75
-64,2.0,1,1.75
-66,5.0,1,1.75
-64,6.0,1,1.75
-64,8.0,1,1.75
-67,9.0,1,1.75
-64,11.0,1,1.75
-64,12.0,1,1.75
-64,13.0,1,1.75
-64,15.0,1,1.75
-64,16.0,1,1.75
-66,18.0,1,1.75
-64,19.0,1,1.75
-66,20.0,1,1.75
-66,22.0,1,1.75
-64,23.0,1,1.75
-67,25.0,1,1.75
-66,27.0,1,1.75
-64,28.0,1,1.75
-67,29.0,1,1.75
-67,31.0,1,1.75
-64,32.0,1,1.75
-63,35.0,1,1.75
-67,38.0,1,1.75
-73,39.0,1,1.75
-64,40.0,1,1.75
-64,43.0,1,1.75
-67,45.0,1,1.75
-73,46.0,1,1.75
-64,48.0,1,1.75
-64,49.0,1,1.75
-64,51.0,1,1.75
-64,52.0,1,1.75
-66,53.0,1,1.75
-64,55.0,1,1.75
-64,56.0,1,1.75
-67,57.0,1,1.75
-64,60.0,1,1.75
-64,62.0,1,1.75
-64,63.0,1,1.75
-64,64.0,1,1.75
-67,66.0,1,1.75
-64,67.0,1,1.75
-64,69.0,1,1.75
-66,70.0,1,1.75
-64,72.0,1,1.75
-64,73.0,1,1.75
-61,76.0,1,1.75
-61,78.0,1,1.75
-64,80.0,1,1.75
-67,82.0,1,1.75
-64,84.0,1,1.75
-66,85.0,1,1.75
-66,86.0,1,1.75
-64,88.0,1,1.75
-65,89.0,1,1.75
-65,91.0,1,1.75
-66,92.0,1,1.75
-64,93.0,1,1.75
-67,95.0,1,1.75
-64,96.0,1,1.75
-66,97.0,1,1.75
-66,99.0,1,1.75
-60,100.0,1,1.75
-60,102.0,1,1.75
-67,103.0,1,1.75
-64,104.0,1,1.75
-66,106.0,1,1.75
-73,107.0,1,1.75
-64,108.0,1,1.75
-66,110.0,1,1.75
-74,111.0,1,1.75
-64,113.0,1,1.75
-64,114.0,1,1.75
-74,115.0,1,1.75
-64,117.0,1,1.75
-67,118.0,1,1.75
-62,-0.0,2,1.75
-66,1.0,2,1.75
-63,3.0,2,1.75
-63,5.0,2,1.75
-63,6.0,2,1.75
-62,8.0,2,1.75
-71,10.0,2,1.75
-62,11.0,2,1.75
-63,12.0,2,1.75
-68,14.0,2,1.75
-62,15.0,2,1.75
-64,17.0,2,1.75
-62,19.0,2,1.75
-65,21.0,2,1.75
-67,22.0,2,1.75
-67,23.0,2,1.75
-71,25.0,2,1.75
-71,26.0,2,1.75
-62,28.0,2,1.75
-65,31.0,2,1.75
-62,32.0,2,1.75
-67,34.0,2,1.75
-62,37.0,2,1.75
-65,38.0,2,1.75
-71,39.0,2,1.75
-62,41.0,2,1.75
-63,44.0,2,1.75
-69,45.0,2,1.75
-62,47.0,2,1.75
-62,48.0,2,1.75
-62,50.0,2,1.75
-63,51.0,2,1.75
-62,52.0,2,1.75
-64,54.0,2,1.75
-63,55.0,2,1.75
-62,57.0,2,1.75
-69,58.0,2,1.75
-63,59.0,2,1.75
-63,61.0,2,1.75
-65,62.0,2,1.75
-62,63.0,2,1.75
-67,65.0,2,1.75
-71,66.0,2,1.75
-71,68.0,2,1.75
-66,70.0,2,1.75
-62,72.0,2,1.75
-62,73.0,2,1.75
-67,74.0,2,1.75
-62,76.0,2,1.75
-64,77.0,2,1.75
-64,79.0,2,1.75
-62,80.0,2,1.75
-64,81.0,2,1.75
-64,83.0,2,1.75
-64,84.0,2,1.75
-64,85.0,2,1.75
-64,87.0,2,1.75
-62,88.0,2,1.75
-64,90.0,2,1.75
-62,92.0,2,1.75
-64,94.0,2,1.75
-62,95.0,2,1.75
-62,96.0,2,1.75
-62,98.0,2,1.75
-72,99.0,2,1.75
-62,100.0,2,1.75
-65,102.0,2,1.75
-62,103.0,2,1.75
-62,105.0,2,1.75
-68,106.0,2,1.75
-62,108.0,2,1.75
-62,109.0,2,1.75
-67,110.0,2,1.75
-62,111.0,2,1.75
-62,113.0,2,1.75
-64,114.0,2,1.75
-62,116.0,2,1.75
-65,117.0,2,1.75
-64,119.0,2,1.75
-62,120.0,2,1.75
-71,-0.0,3,1.75
-66,2.0,3,1.75
-69,4.0,3,1.75
-71,5.0,3,1.75
-64,6.0,3,1.75
-69,8.0,3,1.75
-73,9.0,3,1.75
-65,11.0,3,1.75
-71,12.0,3,1.75
-72,14.0,3,1.75
-64,15.0,3,1.75
-74,17.0,3,1.75
-73,18.0,3,1.75
-73,21.0,3,1.75
-66,23.0,3,1.75
-72,25.0,3,1.75
-63,27.0,3,1.75
-74,28.0,3,1.75
-73,29.0,3,1.75
-65,31.0,3,1.75
-65,32.0,3,1.75
-74,34.0,3,1.75
-65,35.0,3,1.75
-72,36.0,3,1.75
-72,38.0,3,1.75
-64,39.0,3,1.75
-74,40.0,3,1.75
-74,42.0,3,1.75
-65,43.0,3,1.75
-72,44.0,3,1.75
-72,46.0,3,1.75
-64,51.0,3,1.75
-73,54.0,3,1.75
-69,56.0,3,1.75
-74,57.0,3,1.75
-65,58.0,3,1.75
-69,60.0,3,1.75
-74,61.0,3,1.75
-65,63.0,3,1.75
-73,64.0,3,1.75
-74,65.0,3,1.75
-65,67.0,3,1.75
-65,68.0,3,1.75
-73,69.0,3,1.75
-73,71.0,3,1.75
-73,72.0,3,1.75
-73,76.0,3,1.75
-61,78.0,3,1.75
-65,79.0,3,1.75
-64,82.0,3,1.75
-65,84.0,3,1.75
-75,86.0,3,1.75
-64,87.0,3,1.75
-64,89.0,3,1.75
-64,90.0,3,1.75
-64,91.0,3,1.75
-73,93.0,3,1.75
-73,94.0,3,1.75
-65,96.0,3,1.75
-72,97.0,3,1.75
-64,98.0,3,1.75
-72,100.0,3,1.75
-72,101.0,3,1.75
-66,102.0,3,1.75
-74,104.0,3,1.75
-72,105.0,3,1.75
-64,107.0,3,1.75
-64,108.0,3,1.75
-71,109.0,3,1.75
-71,111.0,3,1.75
-74,112.0,3,1.75
-72,116.0,3,1.75
