"rssi","time (second)","trial","distance"
-62,-0.0,1,0.75
-57,2.0,1,0.75
-60,3.0,1,0.75
-60,4.0,1,0.75
-57,6.0,1,0.75
-57,7.0,1,0.75
-57,8.0,1,0.75
-58,10.0,1,0.75
-59,11.0,1,0.75
-57,13.0,1,0.75
-57,14.0,1,0.75
-57,15.0,1,0.75
-57,17.0,1,0.75
-57,18.0,1,0.75
-60,19.0,1,0.75
-58,21.0,1,0.75
-57,22.0,1,0.75
-59,24.0,1,0.75
-57,25.0,1,0.75
-58,26.0,1,0.75
-60,28.0,1,0.75
-57,29.0,1,0.75
-57,31.0,1,0.75
-59,32.0,1,0.75
-57,33.0,1,0.75
-62,36.0,1,0.75
-57,37.0,1,0.75
-57,39.0,1,0.75
-60,40.0,1,0.75
-60,43.0,1,0.75
-59,44.0,1,0.75
-57,46.0,1,0.75
-61,47.0,1,0.75
-59,48.0,1,0.75
-57,50.0,1,0.75
-59,51.0,1,0.75
-57,54.0,1,0.75
-57,55.0,1,0.75
-57,57.0,1,0.75
-57,58.0,1,0.75
-60,59.0,1,0.75
-62,61.0,1,0.75
-57,62.0,1,0.75
-60,64.0,1,0.75
-62,65.0,1,0.75
-58,67.0,1,0.75
-59,68.0,1,0.75
-61,70.0,1,0.75
-60,71.0,1,0.75
-57,73.0,1,0.75
-57,74.0,1,0.75
-61,76.0,1,0.75
-57,77.0,1,0.75
-59,82.0,1,0.75
-59,83.0,1,0.75
-59,84.0,1,0.75
-59,88.0,1,0.75
-61,89.0,1,0.75
-57,91.0,1,0.75
-59,92.0,1,0.75
-60,93.0,1,0.75
-57,95.0,1,0.75
-61,97.0,1,0.75
-57,99.0,1,0.75
-58,102.0,1,0.75
-61,104.0,1,0.75
-61,105.0,1,0.75
-57,106.0,1,0.75
-59,108.0,1,0.75
-61,109.0,1,0.75
-58,111.0,1,0.75
-59,112.0,1,0.75
-58,114.0,1,0.75
-57,115.0,1,0.75
-60,116.0,1,0.75
-60,118.0,1,0.75
-57,119.0,1,0.75
-58,-0.0,2,0.75
-57,2.0,2,0.75
-57,3.0,2,0.75
-57,5.0,2,0.75
-58,6.0,2,0.75
-58,8.0,2,0.75
-57,10.0,2,0.75
-57,11.0,2,0.75
-58,12.0,2,0.75
-57,14.0,2,0.75
-61,15.0,2,0.75
-58,17.0,2,0.75
-57,18.0,2,0.75
-58,19.0,2,0.75
-60,21.0,2,0.75
-57,22.0,2,0.75
-57,23.0,2,0.75
-61,25.0,2,0.75
-57,26.0,2,0.75
-58,28.0,2,0.75
-58,29.0,2,0.75
-57,30.0,2,0.75
-57,32.0,2,0.75
-58,33.0,2,0.75
-58,34.0,2,0.75
-58,36.0,2,0.75
-60,37.0,2,0.75
-57,39.0,2,0.75
-61,40.0,2,0.75
-61,41.0,2,0.75
-57,43.0,2,0.75
-57,44.0,2,0.75
-58,46.0,2,0.75
-61,48.0,2,0.75
-60,50.0,2,0.75
-58,51.0,2,0.75
-59,52.0,2,0.75
-58,54.0,2,0.75
-57,55.0,2,0.75
-57,57.0,2,0.75
-58,59.0,2,0.75
-57,61.0,2,0.75
-57,63.0,2,0.75
-58,65.0,2,0.75
-57,66.0,2,0.75
-57,68.0,2,0.75
-61,70.0,2,0.75
-58,71.0,2,0.75
-57,73.0,2,0.75
