"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1625759410063-00003afc","diract-proximity",,"_doc","['-1.187','-0.25','0.813']",98,6,"00003afc","[{'instanceId':'0000004d','rssi':-61},{'instanceId':'00000058','rssi':-66},{'instanceId':'0000004e','rssi':-71}]","Jul 8, 2021 @ 11:50:10"
"1625759390404-00003afc","diract-proximity",,"_doc","['-0.937','-1.125','0.125']",98,4,"00003afc","[{'instanceId':'0000004d','rssi':-64},{'instanceId':'00000061','rssi':-67},{'instanceId':'00000058','rssi':-70}]","Jul 8, 2021 @ 11:49:50"
"1625759388813-00003afc","diract-proximity",,"_doc","['-0.812','-1.125','0.438']",98,2,"00003afc","[{'instanceId':'00000061','rssi':-67},{'instanceId':'0000004e','rssi':-68},{'instanceId':'00000059','rssi':-69}]","Jul 8, 2021 @ 11:49:48"
"1625759387592-00003afc","diract-proximity",,"_doc","['-0.812','-1.125','0.438']",98,2,"00003afc","[{'instanceId':'00000061','rssi':-67},{'instanceId':'0000004e','rssi':-68},{'instanceId':'00000059','rssi':-69}]","Jul 8, 2021 @ 11:49:47"
"1625759386006-00003afc","diract-proximity",,"_doc","['-0.562','-0.875','0.125']",98,0,"00003afc","[{'instanceId':'0000004e','rssi':-57},{'instanceId':'00000058','rssi':-66},{'instanceId':'00000060','rssi':-67}]","Jul 8, 2021 @ 11:49:46"
"1625759384795-00003afc","diract-proximity",,"_doc","['-0.562','-0.875','0.125']",98,0,"00003afc","[{'instanceId':'0000004e','rssi':-57},{'instanceId':'00000058','rssi':-66},{'instanceId':'00000060','rssi':-67}]","Jul 8, 2021 @ 11:49:44"
"1625759383214-00003afc","diract-proximity",,"_doc","['-0.5','-0.875','0.188']",98,7,"00003afc","[{'instanceId':'0000004e','rssi':-56},{'instanceId':'00000060','rssi':-67},{'instanceId':'00000061','rssi':-69}]","Jul 8, 2021 @ 11:49:43"
"1625759382009-00003afc","diract-proximity",,"_doc","['-0.562','-0.875','0.125']",98,5,"00003afc","[{'instanceId':'0000004e','rssi':-56},{'instanceId':'00000060','rssi':-65},{'instanceId':'00000058','rssi':-67}]","Jul 8, 2021 @ 11:49:42"
"1625759380597-00003afc","diract-proximity",,"_doc","['-0.562','-0.875','0.125']",98,5,"00003afc","[{'instanceId':'0000004e','rssi':-56},{'instanceId':'00000060','rssi':-65},{'instanceId':'00000058','rssi':-67}]","Jul 8, 2021 @ 11:49:40"
"1625759378611-00003afc","diract-proximity",,"_doc","['-0.562','-0.875','0.188']",98,2,"00003afc","[{'instanceId':'0000004e','rssi':-59},{'instanceId':'00000060','rssi':-68},{'instanceId':'00000061','rssi':-70}]","Jul 8, 2021 @ 11:49:38"
"1625759376391-00003afc","diract-proximity",,"_doc","['-0.625','-0.937','0.313']",98,1,"00003afc","[{'instanceId':'0000004e','rssi':-56},{'instanceId':'00000061','rssi':-63},{'instanceId':'00000060','rssi':-66}]","Jul 8, 2021 @ 11:49:36"
"1625759374797-00003afc","diract-proximity",,"_doc","['-0.5','-0.875','-0.125']",98,0,"00003afc","[{'instanceId':'0000004e','rssi':-57},{'instanceId':'00000060','rssi':-62},{'instanceId':'00000058','rssi':-64}]","Jul 8, 2021 @ 11:49:34"
"1625759371981-00003afc","diract-proximity",,"_doc","['-0.5','-0.875','0.188']",98,7,"00003afc","[{'instanceId':'0000004e','rssi':-60},{'instanceId':'00000058','rssi':-64},{'instanceId':'00000060','rssi':-66}]","Jul 8, 2021 @ 11:49:31"
"1625759369373-00003afc","diract-proximity",,"_doc","['-0.5','-0.875','0.25']",98,4,"00003afc","[{'instanceId':'0000004e','rssi':-56},{'instanceId':'00000058','rssi':-62},{'instanceId':'00000060','rssi':-63}]","Jul 8, 2021 @ 11:49:29"
"1625759367800-00003afc","diract-proximity",,"_doc","['-0.562','-0.875','0.188']",98,3,"00003afc","[{'instanceId':'0000004e','rssi':-59},{'instanceId':'00000060','rssi':-62},{'instanceId':'00000061','rssi':-69}]","Jul 8, 2021 @ 11:49:27"
"1625759365985-00003afc","diract-proximity",,"_doc","['-0.5','-0.875','0.313']",98,2,"00003afc","[{'instanceId':'0000004e','rssi':-59},{'instanceId':'00000060','rssi':-63},{'instanceId':'00000058','rssi':-64}]","Jul 8, 2021 @ 11:49:25"
"1625759364602-00003afc","diract-proximity",,"_doc","['-0.562','-0.875','0.188']",98,1,"00003afc","[{'instanceId':'0000004e','rssi':-59},{'instanceId':'00000061','rssi':-64},{'instanceId':'00000060','rssi':-65}]","Jul 8, 2021 @ 11:49:24"
