"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1626792861927-00003afc","diract-proximity",,"_doc","['-0.875','-0.562','-0.187']",89,3,"00003afc","[{'instanceId':'0000004d','rssi':-70},{'instanceId':'00000058','rssi':-71},{'instanceId':'00000060','rssi':-71}]","Jul 20, 2021 @ 10:54:20"
"1626792860516-00003afc","diract-proximity",,"_doc","['-0.562','-0.75','-0.562']",90,0,"00003afc","[{'instanceId':'00000058','rssi':-69},{'instanceId':'00000061','rssi':-72},{'instanceId':'00000059','rssi':-72}]","Jul 20, 2021 @ 10:54:19"
"1626792859249-00003afc","diract-proximity",,"_doc","['-0.625','-0.375','0.375']",90,7,"00003afc","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'0000004e','rssi':-65},{'instanceId':'00000058','rssi':-65}]","Jul 20, 2021 @ 10:54:18"
"1626792857818-00003afc","diract-proximity",,"_doc","['-0.75','-0.312','-0.562']",90,6,"00003afc","[{'instanceId':'0000004d','rssi':-58},{'instanceId':'00000059','rssi':-65},{'instanceId':'00000060','rssi':-66}]","Jul 20, 2021 @ 10:54:16"
"1626792856381-00003afc","diract-proximity",,"_doc","['-0.25','-0.25','-0.812']",90,5,"00003afc","[{'instanceId':'0000004d','rssi':-65},{'instanceId':'00000059','rssi':-66},{'instanceId':'00000058','rssi':-68}]","Jul 20, 2021 @ 10:54:15"
"1626792853110-00003afc","diract-proximity",,"_doc","['-0.75','-0.25','-0.687']",90,4,"00003afc","[{'instanceId':'00000059','rssi':-55},{'instanceId':'0000004d','rssi':-70},{'instanceId':'00000058','rssi':-70}]","Jul 20, 2021 @ 10:54:12"
"1626792851303-00003afc","diract-proximity",,"_doc","['-0.625','-0.562','-0.687']",90,1,"00003afc","[{'instanceId':'00000059','rssi':-65},{'instanceId':'00000058','rssi':-73}]","Jul 20, 2021 @ 10:54:10"
"1626792848325-00003afc","diract-proximity",,"_doc","['-0.75','-0.5','-0.625']",89,7,"00003afc","[{'instanceId':'0000004d','rssi':-58},{'instanceId':'00000059','rssi':-68},{'instanceId':'00000058','rssi':-70}]","Jul 20, 2021 @ 10:54:07"
"1626792847166-00003afc","diract-proximity",,"_doc","['-0.75','-0.5','-0.625']",89,7,"00003afc","[{'instanceId':'0000004d','rssi':-58},{'instanceId':'00000059','rssi':-68},{'instanceId':'00000058','rssi':-70}]","Jul 20, 2021 @ 10:54:06"
"1626792845732-00003afc","diract-proximity",,"_doc","['-0.875','-0.562','0.063']",89,5,"00003afc","[{'instanceId':'0000004d','rssi':-62},{'instanceId':'00000059','rssi':-69},{'instanceId':'00000058','rssi':-69}]","Jul 20, 2021 @ 10:54:04"
