"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1617811417833-00003afc","diract-proximity",,"_doc","['0.063','-0.937','-0.5']",60,4,"00003afc","[{'instanceId':'00000058','rssi':-60},{'instanceId':'00000061','rssi':-68},{'instanceId':'0000004d','rssi':-73}]","Apr 7, 2021 @ 12:03:37"
"1617811416028-00003afc","diract-proximity",,"_doc","['0.75','-0.687','-0.75']",60,1,"00003afc","[{'instanceId':'00000058','rssi':-67},{'instanceId':'00000060','rssi':-67},{'instanceId':'00000059','rssi':-69}]","Apr 7, 2021 @ 12:03:36"
"1617811414223-00003afc","diract-proximity",,"_doc","['-0.062','-0.75','-0.75']",60,0,"00003afc","[{'instanceId':'00000060','rssi':-67},{'instanceId':'0000004e','rssi':-69},{'instanceId':'00000061','rssi':-75}]","Apr 7, 2021 @ 12:03:34"
"1617811411426-00003afc","diract-proximity",,"_doc","['0','-0.812','-0.687']",60,6,"00003afc","[{'instanceId':'00000058','rssi':-62},{'instanceId':'00000060','rssi':-65},{'instanceId':'0000004e','rssi':-69}]","Apr 7, 2021 @ 12:03:31"
"1617811410040-00003afc","diract-proximity",,"_doc","['0','-0.812','-0.687']",60,5,"00003afc","[{'instanceId':'00000060','rssi':-65},{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004e','rssi':-74}]","Apr 7, 2021 @ 12:03:30"
"1617811408640-00003afc","diract-proximity",,"_doc","['0.188','-0.875','-0.625']",60,3,"00003afc","[{'instanceId':'00000060','rssi':-64},{'instanceId':'00000058','rssi':-66},{'instanceId':'00000059','rssi':-67}]","Apr 7, 2021 @ 12:03:28"
"1617811407241-00003afc","diract-proximity",,"_doc","['0.188','-0.875','-0.625']",60,3,"00003afc","[{'instanceId':'00000060','rssi':-64},{'instanceId':'00000058','rssi':-66},{'instanceId':'00000059','rssi':-67}]","Apr 7, 2021 @ 12:03:27"
"1617811405249-00003afc","diract-proximity",,"_doc","['0.188','-0.875','-0.625']",60,1,"00003afc","[{'instanceId':'00000060','rssi':-65},{'instanceId':'00000058','rssi':-69},{'instanceId':'0000004e','rssi':-70}]","Apr 7, 2021 @ 12:03:25"
"1617811404049-00003afc","diract-proximity",,"_doc","['0.188','-0.875','-0.562']",60,0,"00003afc","[{'instanceId':'00000060','rssi':-64},{'instanceId':'00000061','rssi':-68},{'instanceId':'00000059','rssi':-71}]","Apr 7, 2021 @ 12:03:24"
"1617811402446-00003afc","diract-proximity",,"_doc","['0.125','-0.875','-0.562']",60,7,"00003afc","[{'instanceId':'00000060','rssi':-67},{'instanceId':'00000061','rssi':-69},{'instanceId':'00000058','rssi':-70}]","Apr 7, 2021 @ 12:03:22"
"1617811401049-00003afc","diract-proximity",,"_doc","['0.125','-0.875','-0.562']",60,7,"00003afc","[{'instanceId':'00000060','rssi':-67},{'instanceId':'00000061','rssi':-69},{'instanceId':'00000058','rssi':-70}]","Apr 7, 2021 @ 12:03:21"
"1617811398428-00003afc","diract-proximity",,"_doc","['0.188','-0.875','-0.562']",60,4,"00003afc","[{'instanceId':'00000060','rssi':-65},{'instanceId':'0000004e','rssi':-68},{'instanceId':'00000058','rssi':-69}]","Apr 7, 2021 @ 12:03:18"
"1617811396845-00003afc","diract-proximity",,"_doc","['0.25','-0.812','-0.625']",60,3,"00003afc","[{'instanceId':'00000058','rssi':-65},{'instanceId':'00000060','rssi':-67},{'instanceId':'0000004e','rssi':-68}]","Apr 7, 2021 @ 12:03:16"
"1617811395446-00003afc","diract-proximity",,"_doc","['0.25','-0.812','-0.625']",60,2,"00003afc","[{'instanceId':'00000060','rssi':-65},{'instanceId':'0000004e','rssi':-67},{'instanceId':'00000058','rssi':-68}]","Apr 7, 2021 @ 12:03:15"
"1617811394041-00003afc","diract-proximity",,"_doc","['0.188','-0.812','-0.687']",60,1,"00003afc","[{'instanceId':'00000058','rssi':-66},{'instanceId':'00000060','rssi':-67},{'instanceId':'00000059','rssi':-68}]","Apr 7, 2021 @ 12:03:14"
"1617811392627-00003afc","diract-proximity",,"_doc","['0.188','-0.812','-0.625']",60,0,"00003afc","[{'instanceId':'00000060','rssi':-64},{'instanceId':'00000059','rssi':-68},{'instanceId':'00000058','rssi':-68}]","Apr 7, 2021 @ 12:03:12"
"1617811389426-00003afc","diract-proximity",,"_doc","['0.188','-0.812','-0.687']",60,6,"00003afc","[{'instanceId':'00000058','rssi':-65},{'instanceId':'0000004d','rssi':-68},{'instanceId':'00000060','rssi':-68}]","Apr 7, 2021 @ 12:03:09"
"1617811386622-00003afc","diract-proximity",,"_doc","['0.125','-0.812','-0.75']",60,4,"00003afc","[{'instanceId':'0000004e','rssi':-67},{'instanceId':'00000058','rssi':-68},{'instanceId':'00000061','rssi':-68}]","Apr 7, 2021 @ 12:03:06"
"1617811385234-00003afc","diract-proximity",,"_doc","['0.188','-0.812','-0.687']",60,3,"00003afc","[{'instanceId':'00000059','rssi':-67},{'instanceId':'00000061','rssi':-67},{'instanceId':'0000004e','rssi':-68}]","Apr 7, 2021 @ 12:03:05"
"1617811383836-00003afc","diract-proximity",,"_doc","['0.188','-0.875','-0.625']",60,2,"00003afc","[{'instanceId':'00000061','rssi':-67},{'instanceId':'00000060','rssi':-69},{'instanceId':'00000058','rssi':-71}]","Apr 7, 2021 @ 12:03:03"
"1617811382435-00003afc","diract-proximity",,"_doc","['0.125','-0.812','-0.687']",60,1,"00003afc","[{'instanceId':'00000061','rssi':-68},{'instanceId':'00000059','rssi':-70},{'instanceId':'0000004e','rssi':-71}]","Apr 7, 2021 @ 12:03:02"
"1617811381036-00003afc","diract-proximity",,"_doc","['0.188','-0.812','-0.687']",60,0,"00003afc","[{'instanceId':'00000058','rssi':-65},{'instanceId':'00000061','rssi':-70},{'instanceId':'00000060','rssi':-72}]","Apr 7, 2021 @ 12:03:01"
"1617811379628-00003afc","diract-proximity",,"_doc","['0.125','-0.875','-0.625']",60,7,"00003afc","[{'instanceId':'0000004d','rssi':-68},{'instanceId':'00000058','rssi':-70},{'instanceId':'00000061','rssi':-71}]","Apr 7, 2021 @ 12:02:59"
