"rssi","time (second)","trial","distance"
-62,-0.0,1,1.25
-61,2.0,1,1.25
-64,3.0,1,1.25
-63,5.0,1,1.25
-62,6.0,1,1.25
-63,7.0,1,1.25
-63,9.0,1,1.25
-61,10.0,1,1.25
-61,11.0,1,1.25
-62,13.0,1,1.25
-61,14.0,1,1.25
-63,16.0,1,1.25
-61,17.0,1,1.25
-61,18.0,1,1.25
-62,21.0,1,1.25
-64,23.0,1,1.25
-64,25.0,1,1.25
-61,27.0,1,1.25
-62,28.0,1,1.25
-62,29.0,1,1.25
-62,31.0,1,1.25
-63,34.0,1,1.25
-63,36.0,1,1.25
-63,38.0,1,1.25
-62,39.0,1,1.25
-62,40.0,1,1.25
-62,42.0,1,1.25
-62,43.0,1,1.25
-63,44.0,1,1.25
-61,46.0,1,1.25
-63,47.0,1,1.25
-62,49.0,1,1.25
-62,50.0,1,1.25
-63,51.0,1,1.25
-62,53.0,1,1.25
-62,54.0,1,1.25
-63,56.0,1,1.25
-62,57.0,1,1.25
-61,58.0,1,1.25
-61,60.0,1,1.25
-62,61.0,1,1.25
-62,64.0,1,1.25
-62,65.0,1,1.25
-63,67.0,1,1.25
-62,68.0,1,1.25
-61,70.0,1,1.25
-61,71.0,1,1.25
-63,73.0,1,1.25
-62,74.0,1,1.25
-63,76.0,1,1.25
-62,78.0,1,1.25
-62,79.0,1,1.25
-62,81.0,1,1.25
-62,82.0,1,1.25
-62,85.0,1,1.25
-62,87.0,1,1.25
-63,89.0,1,1.25
-61,90.0,1,1.25
-63,91.0,1,1.25
-62,93.0,1,1.25
-62,94.0,1,1.25
-62,95.0,1,1.25
-62,97.0,1,1.25
-61,99.0,1,1.25
-62,100.0,1,1.25
-62,101.0,1,1.25
-62,103.0,1,1.25
-63,105.0,1,1.25
-62,107.0,1,1.25
-63,108.0,1,1.25
-63,109.0,1,1.25
-63,111.0,1,1.25
-63,112.0,1,1.25
-61,113.0,1,1.25
-61,115.0,1,1.25
-62,116.0,1,1.25
-62,118.0,1,1.25
-62,119.0,1,1.25
-60,-0.0,2,1.25
-60,2.0,2,1.25
-64,4.0,2,1.25
-64,5.0,2,1.25
-65,6.0,2,1.25
-62,8.0,2,1.25
-62,9.0,2,1.25
-64,10.0,2,1.25
-62,12.0,2,1.25
-64,13.0,2,1.25
-65,15.0,2,1.25
-62,16.0,2,1.25
-62,17.0,2,1.25
-65,19.0,2,1.25
-62,20.0,2,1.25
-62,21.0,2,1.25
-63,23.0,2,1.25
-62,24.0,2,1.25
-65,26.0,2,1.25
-63,27.0,2,1.25
-61,28.0,2,1.25
-61,30.0,2,1.25
-64,31.0,2,1.25
-64,32.0,2,1.25
-64,34.0,2,1.25
-62,37.0,2,1.25
-62,38.0,2,1.25
-64,39.0,2,1.25
-61,41.0,2,1.25
-61,42.0,2,1.25
-61,44.0,2,1.25
-61,45.0,2,1.25
-61,48.0,2,1.25
-63,49.0,2,1.25
-65,51.0,2,1.25
-62,52.0,2,1.25
-63,54.0,2,1.25
-62,57.0,2,1.25
-60,58.0,2,1.25
-65,60.0,2,1.25
-62,62.0,2,1.25
-62,65.0,2,1.25
-65,66.0,2,1.25
-65,68.0,2,1.25
-62,69.0,2,1.25
-65,71.0,2,1.25
-62,72.0,2,1.25
-65,73.0,2,1.25
-65,75.0,2,1.25
-62,77.0,2,1.25
-65,78.0,2,1.25
-65,79.0,2,1.25
-62,81.0,2,1.25
-65,82.0,2,1.25
-65,84.0,2,1.25
-65,85.0,2,1.25
-65,86.0,2,1.25
-63,87.0,2,1.25
-62,89.0,2,1.25
-65,90.0,2,1.25
-62,92.0,2,1.25
-62,93.0,2,1.25
-65,95.0,2,1.25
