"rssi","time (second)","trial","distance"
-62,-0.0,1,1.0
-65,1.0,1,1.0
-60,3.0,1,1.0
-60,4.0,1,1.0
-63,5.0,1,1.0
-59,7.0,1,1.0
-59,8.0,1,1.0
-63,9.0,1,1.0
-61,11.0,1,1.0
-61,12.0,1,1.0
-61,14.0,1,1.0
-59,15.0,1,1.0
-65,16.0,1,1.0
-59,18.0,1,1.0
-58,19.0,1,1.0
-62,21.0,1,1.0
-59,22.0,1,1.0
-59,23.0,1,1.0
-63,25.0,1,1.0
-59,26.0,1,1.0
-63,28.0,1,1.0
-63,30.0,1,1.0
-59,32.0,1,1.0
-63,34.0,1,1.0
-60,36.0,1,1.0
-69,37.0,1,1.0
-59,39.0,1,1.0
-59,40.0,1,1.0
-65,42.0,1,1.0
-59,43.0,1,1.0
-59,48.0,1,1.0
-60,50.0,1,1.0
-69,52.0,1,1.0
-69,54.0,1,1.0
-59,55.0,1,1.0
-65,56.0,1,1.0
-63,58.0,1,1.0
-59,59.0,1,1.0
-63,62.0,1,1.0
-63,63.0,1,1.0
-63,65.0,1,1.0
-63,66.0,1,1.0
-59,67.0,1,1.0
-63,69.0,1,1.0
-63,70.0,1,1.0
-59,72.0,1,1.0
-62,73.0,1,1.0
-57,74.0,1,1.0
-57,76.0,1,1.0
-60,77.0,1,1.0
-59,78.0,1,1.0
-60,80.0,1,1.0
-60,81.0,1,1.0
-59,83.0,1,1.0
-58,84.0,1,1.0
-62,85.0,1,1.0
-60,87.0,1,1.0
-60,88.0,1,1.0
-63,89.0,1,1.0
-59,91.0,1,1.0
-65,94.0,1,1.0
-59,95.0,1,1.0
-59,96.0,1,1.0
-59,98.0,1,1.0
-63,99.0,1,1.0
-59,100.0,1,1.0
-62,102.0,1,1.0
-59,103.0,1,1.0
-59,105.0,1,1.0
-63,106.0,1,1.0
-61,107.0,1,1.0
-63,109.0,1,1.0
-63,110.0,1,1.0
-60,111.0,1,1.0
-62,113.0,1,1.0
-63,115.0,1,1.0
-63,118.0,1,1.0
-61,-0.0,2,1.0
-62,1.0,2,1.0
-60,3.0,2,1.0
-61,4.0,2,1.0
-61,5.0,2,1.0
-62,7.0,2,1.0
-61,8.0,2,1.0
-62,9.0,2,1.0
-60,11.0,2,1.0
-63,12.0,2,1.0
-61,14.0,2,1.0
-61,15.0,2,1.0
-61,16.0,2,1.0
-60,18.0,2,1.0
-60,19.0,2,1.0
-60,21.0,2,1.0
-59,22.0,2,1.0
-61,23.0,2,1.0
-62,25.0,2,1.0
-60,26.0,2,1.0
-60,27.0,2,1.0
-60,29.0,2,1.0
-60,30.0,2,1.0
-60,31.0,2,1.0
-59,33.0,2,1.0
-62,34.0,2,1.0
-63,36.0,2,1.0
-60,37.0,2,1.0
-60,38.0,2,1.0
-63,40.0,2,1.0
-57,41.0,2,1.0
-63,43.0,2,1.0
-64,44.0,2,1.0
-57,45.0,2,1.0
-57,47.0,2,1.0
-64,48.0,2,1.0
-58,49.0,2,1.0
-58,51.0,2,1.0
-58,52.0,2,1.0
-57,53.0,2,1.0
-63,55.0,2,1.0
-57,56.0,2,1.0
-57,58.0,2,1.0
-63,59.0,2,1.0
-57,60.0,2,1.0
-58,62.0,2,1.0
-62,63.0,2,1.0
-57,65.0,2,1.0
-59,66.0,2,1.0
-59,67.0,2,1.0
-57,69.0,2,1.0
-60,70.0,2,1.0
-57,73.0,2,1.0
-57,74.0,2,1.0
-62,76.0,2,1.0
-57,77.0,2,1.0
-57,79.0,2,1.0
-63,80.0,2,1.0
-57,82.0,2,1.0
-63,83.0,2,1.0
-57,85.0,2,1.0
-63,87.0,2,1.0
-63,88.0,2,1.0
-57,89.0,2,1.0
-63,91.0,2,1.0
-63,92.0,2,1.0
-57,94.0,2,1.0
-63,95.0,2,1.0
-63,96.0,2,1.0
-57,98.0,2,1.0
-57,99.0,2,1.0
-63,100.0,2,1.0
-57,102.0,2,1.0
-63,103.0,2,1.0
-65,105.0,2,1.0
-57,106.0,2,1.0
-63,107.0,2,1.0
-65,109.0,2,1.0
-57,110.0,2,1.0
-63,111.0,2,1.0
-57,113.0,2,1.0
-57,114.0,2,1.0
-62,116.0,2,1.0
-57,117.0,2,1.0
-58,118.0,2,1.0
-60,-0.0,3,1.0
-61,1.0,3,1.0
-62,2.0,3,1.0
-60,4.0,3,1.0
-60,5.0,3,1.0
-63,6.0,3,1.0
-60,9.0,3,1.0
-60,11.0,3,1.0
-60,12.0,3,1.0
-60,13.0,3,1.0
-62,15.0,3,1.0
-60,16.0,3,1.0
-60,17.0,3,1.0
-63,19.0,3,1.0
-60,20.0,3,1.0
-61,22.0,3,1.0
-62,23.0,3,1.0
-60,24.0,3,1.0
-60,26.0,3,1.0
-60,27.0,3,1.0
-60,28.0,3,1.0
-60,30.0,3,1.0
-62,31.0,3,1.0
-60,33.0,3,1.0
-60,34.0,3,1.0
-63,35.0,3,1.0
-60,37.0,3,1.0
-62,38.0,3,1.0
-62,40.0,3,1.0
-61,41.0,3,1.0
-61,42.0,3,1.0
-63,43.0,3,1.0
-63,45.0,3,1.0
-62,46.0,3,1.0
-62,48.0,3,1.0
-60,49.0,3,1.0
-60,50.0,3,1.0
-62,52.0,3,1.0
-62,53.0,3,1.0
-62,55.0,3,1.0
-64,56.0,3,1.0
-64,57.0,3,1.0
-62,59.0,3,1.0
-60,60.0,3,1.0
-62,63.0,3,1.0
-60,64.0,3,1.0
-61,66.0,3,1.0
-61,67.0,3,1.0
-60,68.0,3,1.0
-62,70.0,3,1.0
-62,71.0,3,1.0
-60,73.0,3,1.0
-63,75.0,3,1.0
-60,77.0,3,1.0
-62,78.0,3,1.0
-63,79.0,3,1.0
-60,81.0,3,1.0
-63,82.0,3,1.0
-63,84.0,3,1.0
-57,85.0,3,1.0
-62,87.0,3,1.0
-63,88.0,3,1.0
-61,90.0,3,1.0
-63,91.0,3,1.0
-62,94.0,3,1.0
-62,96.0,3,1.0
-62,97.0,3,1.0
-62,99.0,3,1.0
-62,100.0,3,1.0
-60,102.0,3,1.0
-62,103.0,3,1.0
-62,105.0,3,1.0
-63,106.0,3,1.0
-63,109.0,3,1.0
-63,111.0,3,1.0
-57,113.0,3,1.0
-63,114.0,3,1.0
-56,115.0,3,1.0
-63,117.0,3,1.0
-63,118.0,3,1.0
-60,119.0,3,1.0
