"rssi","time (second)","trial","distance"
-63,-0.0,1,2.25
-63,2.0,1,2.25
-64,3.0,1,2.25
-65,4.0,1,2.25
-62,6.0,1,2.25
-62,7.0,1,2.25
-63,9.0,1,2.25
-62,10.0,1,2.25
-65,12.0,1,2.25
-63,14.0,1,2.25
-62,15.0,1,2.25
-65,17.0,1,2.25
-62,19.0,1,2.25
-62,20.0,1,2.25
-65,21.0,1,2.25
-65,24.0,1,2.25
-62,25.0,1,2.25
-64,27.0,1,2.25
-64,29.0,1,2.25
-62,30.0,1,2.25
-65,31.0,1,2.25
-65,33.0,1,2.25
-64,34.0,1,2.25
-64,36.0,1,2.25
-63,38.0,1,2.25
-63,40.0,1,2.25
-66,41.0,1,2.25
-66,42.0,1,2.25
-65,44.0,1,2.25
-65,45.0,1,2.25
-65,47.0,1,2.25
-65,48.0,1,2.25
-62,51.0,1,2.25
-65,52.0,1,2.25
-63,54.0,1,2.25
-64,55.0,1,2.25
-62,58.0,1,2.25
-62,59.0,1,2.25
-65,61.0,1,2.25
-62,63.0,1,2.25
-65,64.0,1,2.25
-62,66.0,1,2.25
-65,69.0,1,2.25
-62,70.0,1,2.25
-65,71.0,1,2.25
-67,73.0,1,2.25
-62,74.0,1,2.25
-67,76.0,1,2.25
-67,77.0,1,2.25
-65,78.0,1,2.25
-66,80.0,1,2.25
-62,82.0,1,2.25
-62,84.0,1,2.25
-68,85.0,1,2.25
-62,86.0,1,2.25
-65,88.0,1,2.25
-65,89.0,1,2.25
-62,91.0,1,2.25
-65,92.0,1,2.25
-62,93.0,1,2.25
-64,95.0,1,2.25
-65,96.0,1,2.25
-63,98.0,1,2.25
-62,99.0,1,2.25
-65,101.0,1,2.25
-62,102.0,1,2.25
-63,104.0,1,2.25
-65,105.0,1,2.25
-62,108.0,1,2.25
-63,109.0,1,2.25
-62,111.0,1,2.25
-62,113.0,1,2.25
-63,114.0,1,2.25
-62,115.0,1,2.25
-65,117.0,1,2.25
-62,119.0,1,2.25
-63,-0.0,2,2.25
-66,1.0,2,2.25
-63,2.0,2,2.25
-63,4.0,2,2.25
-66,5.0,2,2.25
-66,7.0,2,2.25
-66,9.0,2,2.25
-62,11.0,2,2.25
-66,12.0,2,2.25
-66,13.0,2,2.25
-66,15.0,2,2.25
-67,16.0,2,2.25
-67,18.0,2,2.25
-64,19.0,2,2.25
-66,20.0,2,2.25
-66,22.0,2,2.25
-64,23.0,2,2.25
-64,24.0,2,2.25
-62,27.0,2,2.25
-67,29.0,2,2.25
-63,30.0,2,2.25
-64,31.0,2,2.25
-66,33.0,2,2.25
-66,34.0,2,2.25
-64,35.0,2,2.25
-64,37.0,2,2.25
-64,38.0,2,2.25
-63,39.0,2,2.25
-67,41.0,2,2.25
-63,42.0,2,2.25
-63,44.0,2,2.25
-67,45.0,2,2.25
-67,46.0,2,2.25
-64,48.0,2,2.25
-66,49.0,2,2.25
-63,51.0,2,2.25
-63,52.0,2,2.25
-63,53.0,2,2.25
-63,55.0,2,2.25
-63,56.0,2,2.25
-66,58.0,2,2.25
-66,59.0,2,2.25
-67,60.0,2,2.25
-66,61.0,2,2.25
-66,63.0,2,2.25
-63,64.0,2,2.25
-66,66.0,2,2.25
-66,67.0,2,2.25
-67,69.0,2,2.25
-67,70.0,2,2.25
-65,71.0,2,2.25
-67,73.0,2,2.25
-64,74.0,2,2.25
-64,75.0,2,2.25
-66,77.0,2,2.25
-63,80.0,2,2.25
-67,81.0,2,2.25
-63,83.0,2,2.25
-63,84.0,2,2.25
-63,87.0,2,2.25
-66,89.0,2,2.25
-62,90.0,2,2.25
-63,92.0,2,2.25
-63,93.0,2,2.25
-63,95.0,2,2.25
-63,96.0,2,2.25
-63,99.0,2,2.25
-66,101.0,2,2.25
-66,102.0,2,2.25
-63,103.0,2,2.25
-66,105.0,2,2.25
-66,106.0,2,2.25
-66,109.0,2,2.25
-66,110.0,2,2.25
-63,112.0,2,2.25
-64,115.0,2,2.25
-65,117.0,2,2.25
-63,118.0,2,2.25
-62,-0.0,3,2.25
-62,1.0,3,2.25
-65,3.0,3,2.25
-63,4.0,3,2.25
-64,5.0,3,2.25
-64,7.0,3,2.25
-63,8.0,3,2.25
-65,9.0,3,2.25
-68,11.0,3,2.25
-68,12.0,3,2.25
-65,14.0,3,2.25
-63,15.0,3,2.25
-62,17.0,3,2.25
-63,18.0,3,2.25
-62,20.0,3,2.25
-62,22.0,3,2.25
-63,23.0,3,2.25
-63,24.0,3,2.25
-63,26.0,3,2.25
-62,27.0,3,2.25
-63,29.0,3,2.25
-64,30.0,3,2.25
-63,32.0,3,2.25
-63,33.0,3,2.25
-63,34.0,3,2.25
-63,36.0,3,2.25
-62,37.0,3,2.25
-65,40.0,3,2.25
-63,41.0,3,2.25
-65,42.0,3,2.25
-62,44.0,3,2.25
-62,45.0,3,2.25
-65,47.0,3,2.25
-62,50.0,3,2.25
-62,52.0,3,2.25
-64,53.0,3,2.25
-64,55.0,3,2.25
-63,56.0,3,2.25
-62,58.0,3,2.25
-62,59.0,3,2.25
-62,60.0,3,2.25
-64,62.0,3,2.25
-64,63.0,3,2.25
-64,66.0,3,2.25
-66,67.0,3,2.25
-62,69.0,3,2.25
-65,70.0,3,2.25
-64,72.0,3,2.25
-62,73.0,3,2.25
-65,74.0,3,2.25
-67,76.0,3,2.25
-62,77.0,3,2.25
-65,78.0,3,2.25
-65,80.0,3,2.25
-63,81.0,3,2.25
-66,83.0,3,2.25
-69,84.0,3,2.25
-62,88.0,3,2.25
-62,89.0,3,2.25
-65,91.0,3,2.25
-62,92.0,3,2.25
-62,96.0,3,2.25
-65,99.0,3,2.25
-62,100.0,3,2.25
-62,102.0,3,2.25
-67,103.0,3,2.25
-65,104.0,3,2.25
-63,106.0,3,2.25
-65,107.0,3,2.25
-62,109.0,3,2.25
-65,110.0,3,2.25
